1 / study,Study,study_id, , ,Bioproject_ID,sra_accession,sra_accession, ,,,,study_id,study_id,study_id,Y,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,Study,Study,PRJNA349,String ,Alphanumeric UID assigned by NCBI,1 / study,Study,study_id,PRJNA349,String ,Alphanumeric UID assigned by NCBI,,,
1 / subject,Synthetic library,synthetic, , ,Synthetic,,, ,,,,synthetic,,synthetic, ,,,,,,,,,,,,,,,TRUE for libraries in which the diversity has been synthetically generated (e.g. phage display),Boolean,TRUE/FALSE,1 / subject,Organism-based or synthetic,organism,Homo sapiens,String,Controlled vocabulary,,,
1 / subject,Organism,organism, , ,Organism,subject_species,subject_species, ,,,,organism,organism,organism,Y,organism,organism,organism,organism,organism,organism,organism,organism,organism,organism,organism,organism,Organism,Organism,Homo sapiens,String,Controlled vocabulary,1 / subject,Sex,sex,"human, mouse or synthetic based study",String,Controlled vocabulary,,,
1 / subject,Sex,sex, , ,Sex,subject_gender,subject_gender, ,,,,sex,sex,sex,Y,sex,sex,sex,sex,sex,sex,sex,sex,sex,sex,sex,sex,Age,Age,,Char,Controlled vocabulary,1 / subject,Age,age,,Char,Controlled vocabulary,,,
1 / subject,Age,age, , ,Age,,, ,,,,age,,age, ,,,,,,,,,,,,,,,200 days,String,Time duration and unit,1 / subject,Age event,age_event,200 days,String,Time duration and unit,,,
1 / subject,Age event,age_event, , ,Age_event,,, ,,,,age_event,,age_event, ,,,,,,,,,,,,,,,Enrollment,String,Free text,1 / subject,Ancestry population,ancestry_population,Enrollment,String,Free text,,,
1 / subject,Ancestry population,ancestry_population, , ,Ancestry_population,,, ,,,,ancestry_population,,ancestry_population, ,,,,,,,,,,,,,,,,String,Free text,1 / subject,Ethnicity,ethnicity,,String,Free text,,,
1 / subject,Ethnicity,ethnicity, , ,Ethnicity,subject_ethnicity,subject_ethnicity, ,,,,ethnicity,ethnicity,ethnicity,Y,ethnicity,ethnicity,ethnicity,ethnicity,ethnicity,ethnicity,ethnicity,ethnicity,ethnicity,ethnicity,ethnicity,ethnicity,Ethnicity,Ethnicity,Tamil and Sinhalese,String,Free text,1 / subject,Race,race,Tamil and Sinhalese,String,Free text,,,
1 / subject,Race,race, , ,Race,,, ,,,,race,,race, ,,,,,,,,,,,,,,,South Indian,String,Free text,1 / subject,Species name,species_name,South Indian,String,Free text,,,
1 / subject,Strain name,strain_name, , ,Strain_name,,, ,,,,strain_name,,strain_name, ,,,,,,,,,,,,,,,C57BL/6J,String,Free text,1 / subject,Strain name,strain_name,C57BL/6J,String,Free text,,,
1 / subject,Relation to other subjects,linked_subjects, , ,linked_subjects,,, ,,,,linked_subjects,,linked_subjects, ,,,,,,,,,,,,,,,SUB1355648,String,Subject ID,1 / subject,Relation to other subjects,linked_subjects,SUB1355648,String,Subject ID,,,
1 / subject,Relation type,link_type, , ,Link_type,,, ,,,,link_type,,link_type, ,,,,,,,,,,,,,,,"sister, father, daughter",String,Controlled vocabulary,1 / subject,Relation type,link_type,"sister, father, daughter",String,Controlled vocabulary,,,
1 / diag. & intervent.,Study group description,study_group_description, , ,Study_group_description,case_control_name,case_control_name, ,,,,study_group_description,study_group_description,study_group_description,Y,study_group_description,study_group_description,study_group_description,study_group_description,study_group_description,study_group_description,study_group_description,study_group_description,study_group_description,study_group_description,study_group_description,study_group_description,Study group description,Study Group,Case vs. Control,String,Free text,1 / diag. & intervent.,Study group description,study_group_description,Case vs. Control,String,Free text,,,
1 / diag. & intervent.,Diagnosis,disease_diagnosis, , ,Disease_Diagnosis,,, ,,,,disease_diagnosis,,disease_diagnosis, ,,,,,,,,,,,,,,,"infection, metastasis ",String,Free text,1 / diag. & intervent.,Diagnosis,disease_diagnosis,"infection, metastasis ",String,Free text,,,
1 / diag. & intervent.,Length of disease,disease_length, , ,Disease_length,,, ,,,,disease_length,,disease_length, ,,,,,,,,,,,,,,,5 years,String,Time duration and unit,1 / diag. & intervent.,Length of disease,disease_length,5 years,String,Time duration and unit,,,
1 / diag. & intervent.,Disease stage,disease_stage, , ,Disease_stage,,, ,,,,disease_stage,,disease_stage, ,,,,,,,,,,,,,,,"Tumor, nodes or mets",String,Free text,1 / diag. & intervent.,Disease stage,disease_stage,"Tumor, nodes or mets",String,Free text,,,
1 / diag. & intervent.,Prior therapies for primary disease under study,prior_therapies, , ,Prior_therapies,,, ,,,,prior_therapies,,prior_therapies, ,,,,,,,,,,,,,,,"Surgery, medications etc.",String,Free text,1 / diag. & intervent.,Prior therapies for primary disease under study,prior_therapies,"Surgery, medications etc.",String,Free text,,,
1 / diag. & intervent.,Immunogen/agent,immunogen, , ,Immunogen,,, ,,,,immunogen,,immunogen, ,,,,,,,,,,,,,,,Vaccine,String,Free text,1 / diag. & intervent.,Immunogen/agent,immunogen,Vaccine,String,Free text,,,
1 / diag. & intervent.,Intervention definition,intervention, , ,Intervention,,, ,,,,intervention,,intervention, ,,,,,,,,,,,,,,,"Drug, Vaccine, Surgery etc.",String,Free text,1 / diag. & intervent.,Intervention definition,intervention,"Drug, Vaccine, Surgery etc.",String,Free text,,,
1 / diag. & intervent.,Other relevant medical history,medical_history, , ,medical_history,,, ,,,,medical_history,,medical_history, ,,,,,,,,,,,,,,,"Medications, surgeries, other conditions",String,Free text,1 / diag. & intervent.,Other relevant medical history,medical_history,"Medications, surgeries, other conditions",String,Free text,,,
2 / sample,Biological sample ID,sample_id, , ,Sample_Identifier,sample_name,sample_name, ,,,,sample_id,sample_id,sample_id,Y,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,Biological sample ID,Sample ID,SUP52415,String,UID assigned by submitter,2 / sample,Biological sample ID,sample_id,SUP52415,String,UID assigned by submitter,,,
2 / sample,Sample type,sample_type, , ,Sample_Type,,, ,,,,sample_type,,sample_type, ,,,,,,,,,,,,,,,"The way the sample was obtained, e.g. biopsy, fine-needle aspirate, organ harvest",String,Free text,2 / sample,Sample type,sample_type,"The way the sample was obtained, e.g. biopsy, fine-needle aspirate, organ harvest",String,Free text,,,
2 / sample,Tissue,tissue, , ,Tissue,sample_source_name,sample_source_name, ,,,,tissue,tissue,tissue,Y,tissue,tissue,tissue,tissue,tissue,tissue,tissue,tissue,tissue,tissue,tissue,tissue,Tissue,Tissue,"The actual tissue, e.g. bone marrow, liver, peripheral blood",String,Free text,2 / sample,Tissue,tissue,"The actual tissue, e.g. bone marrow, liver, peripheral blood",String,Free text,,,
2 / sample,Anatomic site,anatomic_site, , ,Anatomic_site,,, ,,,,anatomic_site,,anatomic_site, ,,,,,,,,,,,,,,,"The location of the tissue, e.g. Inguinal, femur",String,Free text,2 / sample,Anatomic site,anatomic_site,"The location of the tissue, e.g. Inguinal, femur",String,Free text,,,
2 / sample,Disease state of sample,disease_state_sample, , ,Disease_State,disease_state_name,disease_state_name, ,,,,disease_state_sample,disease_state_sample,disease_state_sample,Y,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,disease_state_sample,Disease state of sample,Disease state of sample,tumor vs. margin,String,Free text,2 / sample,Disease state of sample,disease_state_sample,tumor vs. margin,String,Free text,,,
2 / sample,Sample collection time,collection_date, , ,Time_Points,,, ,,,,collection_date,,collection_date, ,,,,,,,,,,,,,,,10 Days,String,Free text,2 / sample,Sample collection time,collection_date,10 Days,String,Free text,,,
2 / sample,Collection time event (T0),collection_time_event, , ,Collection_time_event,,, ,,,,collection_time_event,,collection_time_event, ,,,,,,,,,,,,,,,"vaccination, recruitment, treatment",String,Free text,2 / sample,Collection time event (T0),collection_time_event,"vaccination, recruitment, treatment",String,Free text,,,
2 / sample,Biomaterial provider,biomaterial_provider, , ,Biomaterial_provider,,, ,,,,biomaterial_provider,,biomaterial_provider, ,,,,,,,,,,,,,,,XYZ Pharma,String,Free text,2 / sample,Commercial source,source_commercial,XYZ Pharma,String,Free text,,,
3 / process (cell),Tissue processing,tissue_processing, , ,Tissue_processing,,, ,,,,tissue_processing,,tissue_processing, ,,,,,,,,,,,,,,,Enzymatic digestion and/or physical methods used to isolate cells from sample,String,Free text,3 / process (cell),Tissue processing,tissue_processing,Enzymatic digestion and/or physical methods used to isolate cells from sample,String,Free text,,,
3 / process (cell),Cell subset,cell_subset, , ,Cell_Type,ireceptor_cell_subset_name,ireceptor_cell_subset_name, ,,,,cell_subset,cell_subset,cell_subset,Y,cell_subset,cell_subset,cell_subset,cell_subset,cell_subset,cell_subset,cell_subset,cell_subset,cell_subset,cell_subset,cell_subset,cell_subset,Cell subset,Cell subset,,String,Controlled vocabulary,3 / process (cell),Cell subset,cell_subset,,String,Controlled vocabulary,,,
3 / process (cell),Cell subset phenotype,cell_phenotype, , ,Cell_markers,lab_cell_subset_name,lab_cell_subset_name, ,,,,cell_phenotype,cell_phenotype,cell_phenotype,Y,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,cell_phenotype,Cell subset phenotype,Cell subset phenotype,,String,Free text,3 / process (cell),Cell subset phenotype,cell_phenotype,,String,Free text,,,
3 / process (cell),Single-cell sort,single_cell, , ,Single_cell,,, ,,,,single_cell,,single_cell, ,,,,,,,,,,,,,,,TRUE,Boolean,Controlled vocabulary,3 / process (cell),Single-cell sort,single_cell,TRUE,Boolean,Controlled vocabulary,,,
3 / process (cell),Number of cells in experiment,cell_number, , ,Number_of_reads_per_rxn,,, ,,,,cell_number,,cell_number, ,,,,,,,,,,,,,,,100,Unsigned integer,number,3 / process (cell),Number of cells in experiment,cell_number,100,Unsigned integer,number,,,
3 / process (cell),Number of cells per sequencing reaction,cells_per_reaction, , ,Estimated_Number_cells_per_seq_rxn, , , ,,,,cells_per_reaction,,cells_per_reaction, ,,,,,,,,,,,,,,,100,Unsigned integer,number,3 / process (cell),Number of cells per sequencing reaction,cells_per_reaction,100,Unsigned integer,number,,,
3 / process (cell),Cell storage,cell_storage, , ,Cell_storage,,, ,,,,cell_storage,,cell_storage, ,,,,,,,,,,,,,,,Yes,Boolean,YES/NO,3 / process (cell),Cell storage,cell_storage,Yes,Boolean,YES/NO,,,
3 / process (cell),Cell quality,cell_quality, , ,Cell_quality,,, ,,,,cell_quality,,cell_quality, ,,,,,,,,,,,,,,,Viability,String,Free text,3 / process (cell),Cell quality,cell_quality,Viability,String,Free text,,,
3 / process (cell),Cell isolation / enrichment procedure,cell_isolation, , ,Cell_isolation,,, ,,,,cell_isolation,,cell_isolation, ,,,,,,,,,,,,,,,Flow cytometry or magnetic bead enrichment,String,Free text,3 / process (cell),Cell isolation / enrichment procedure,cell_isolation,Flow cytometry or magnetic bead enrichment,String,Free text,,,
3 / process (cell),Processing protocol,cell_processing_protocol, , ,Cell_processing_protocol,,, ,,,,cell_processing_protocol,,cell_processing_protocol, ,,,,,,,,,,,,,,,Stimulation with cytokines or cells,String,Free text,3 / process (cell),Processing protocol,cell_processing_protocol,Stimulation with cytokines or cells,String,Free text,,,
3 / process (nucl. acid),Target substrate,library_source, , ,DNA_type,dna_type,dna_type, ,,,,library_source,library_source,library_source,Y,library_source,library_source,library_source,library_source,library_source,library_source,library_source,library_source,library_source,library_source,library_source,library_source,Target substrate,Target substrate,(DNA|RNA),String,Controlled vocabulary,3 / process (nucl. acid),Target substrate,library_source,(DNA|RNA),String,Controlled vocabulary,,,
3 / process (nucl. acid),Target substrate quality,library_quality, , ,Library_quality,,, ,,,,library_quality,,library_quality, ,,,,,,,,,,,,,,,"RIN for RNA, or specified in protocol",String,Free text,3 / process (nucl. acid),Target substrate quality,library_quality,"RIN for RNA, or specified in protocol",String,Free text,,,
3 / process (nucl. acid),Library generation method,library_construction_method, , ,SRA_Library_Selection,,, ,,,,library_construction_method,,library_construction_method, ,,,,,,,,,,,,,,,,String,Free text,3 / process (nucl. acid),Library generation method,library_construction_method,,String,Free text,,,
3 / process (nucl. acid),Library generation protocol,library_construction_protocol, , ,library_construction_protocol,,, ,,,,library_construction_protocol,,library_construction_protocol, ,,,,,,,,,,,,,,,RACE or oligo (nested) amplification based,String,Free text,3 / process (nucl. acid),Library generation protocol,library_construction_protocol,RACE or oligo (nested) amplification based,String,Free text,,,
3 / process (nucl. acid),Target locus for PCR,target_locus_PCR, , ,Target_locus_for_PCR,,, ,,,,target_locus_PCR,,target_locus_PCR, ,,,,,,,,,,,,,,,Constant region vs. V region amplification,String,Free text,3 / process (nucl. acid),Target locus for PCR,target_locus_PCR,Constant region vs. V region amplification,String,Free text,,,
3 / process (nucl. acid),Forward PCR primer target location,forward_PCR_primer_target_location, , ,forward_PCR_primer_target_location,,, ,,,,forward_PCR_primer_target_location,,forward_PCR_primer_target_location, ,,,,,,,,,,,,,,,FR1,String,Free text,3 / process (nucl. acid),Forward PCR primer target location,forward_PCR_primer_target_location,FR1,String,Free text,,,
3 / process (nucl. acid),Reverse PCR primer target location,reverse_PCR_primer_target_location, , ,reverse_PCR_primer_target_location,,, ,,,,reverse_PCR_primer_target_location,,reverse_PCR_primer_target_location, ,,,,,,,,,,,,,,,Constant region,String,Free text,3 / process (nucl. acid),Reverse PCR primer target location,reverse_PCR_primer_target_location,Constant region,String,Free text,,,
3 / process (nucl. acid),Complete sequences,complete_sequences, , ,Complete_sequences,,, ,,,,complete_sequences,,complete_sequences, ,,,,,,,,,,,,,,,"To be considered `complete`, a sequences MUST 1) include the first V segment codon that encodes the mature polypeptide chain (i.e. after the leader sequence); 2) include the last complete codon of the J segment (i.e. 1 bp 5' of the J->C splice site); 3) provide sequence information for all positions between 1) and 2). To be considered `complete & untemplated`, the sections of the sequences defined in points 1) to 3) of the previous sentence MUST be untemplated, i.e. MUST NOT overlap with the primers used in library preparation.",String,Controlled vocabulary,3 / process (nucl. acid),Whole vs. partial sequences,whole_vs_partial_sequences,Yes,Boolean,YES/NO,,,
3 / process (nucl. acid),Physical linkage of different loci,physical_linkage, , ,Physical_linkages,,, ,,,,physical_linkage,,physical_linkage, ,,,,,,,,,,,,,,,IGH-IGK/IGL-head/head,String,Controlled vocabulary,3 / process (nucl. acid),Physical linkage of different loci,physical_linkage,IGH-IGK/IGL-head/head,String,Controlled vocabulary,,,
3 / process (nucl. acid),Template amount,template_amount, , ,Template_amount,,, ,,,,template_amount,,template_amount, ,,,,,,,,,,,,,,,123.45,Float,number [ng],3 / process (nucl. acid),Template amount,ng_template,123.45,Float,number [ng],,,
3 / process (nucl. acid),Total reads passing QC filter,total_reads_passing_qc_filter, , ,total_reads_passing_qc_filter,,, ,,,,total_reads_passing_qc_filter,,total_reads_passing_qc_filter, ,,,,,,,,,,,,,,,10,Unsigned integer,Number of usable reads for analysis,3 / process (nucl. acid),Total reads passing QC filter,total_reads_passing_qc_filter,10,Unsigned integer,Number of usable reads for analysis,,,
3 / process (nucl. acid),Protocol IDs,protocol_id, , ,protocol_id,,, ,,,,protocol_id,,protocol_id, ,,,,,,,,,,,,,,,4501uggt,String,UID either assigned by submitter,3 / process (nucl. acid),Protocol IDs,protocol_id,4501uggt,String,UID either assigned by submitter,,,
3 / process (nucl. acid),Sequencing platform,platform, , ,Sequencing_method,,, ,,,,platform,platform,platform,Y,platform,platform,platform,platform,platform,platform,platform,platform,platform,platform,platform,platform,Sequencing Platform,Platform,Alumina,String,Free text,3 / process (nucl. acid),Sequencing Platform,platform,Alumina,String,Free text,,,
3 / process (nucl. acid),Read lengths,read_length, , ,read_length,,, ,,,,read_length,,read_length, ,,,,,,,,,,,,,,,180,Unsigned integer,Number of base pairs and directions,3 / process (nucl. acid),Read lengths,read_length,180,Unsigned integer,Number of base pairs and directions,,,
3 / process (nucl. acid),Sequencing facility,sequencing_facility, , ,sequencing_facility,,, ,,,,sequencing_facility,,sequencing_facility, ,,,,,,,,,,,,,,,ABC Lab,String,Free text,3 / process (nucl. acid),Sequencing Facility,sequencing_facility,ABC Lab,String,Free text,,,
3 / process (nucl. acid),Batch number,batch_number, , ,batch_number,,, ,,,,batch_number,,batch_number, ,,,,,,,,,,,,,,,BAT84562,String,UID either assigned by submitter,3 / process (nucl. acid),Batch number,batch_number,BAT84562,String,UID either assigned by submitter,,,
3 / process (nucl. acid),Date of sequencing run,sequencing_run_date, , ,sequencing_run_date,,, ,,,,sequencing_run_date,,sequencing_run_date, ,,,,,,,,,,,,,,,2016-12-16,String,ISO8601-compliant date,3 / process (nucl. acid),Date of sequencing run,sequencing_run_date,2016-12-16,String,ISO8601-compliant date,,,
3 / process (nucl. acid),Sequencing kit,sequencing_kit, , ,sequencing_kit,,, ,,,,sequencing_kit,,sequencing_kit, ,,,,,,,,,,,,,,,"Manufacturer, Catalog Number, Lot number",String,Free text,3 / process (nucl. acid),Sequencing kit,sequencing_kit,"Manufacturer, Catalog Number, Lot number",String,Free text,,,
4 / data (raw reads),Raw sequence data,, , ,,,, ,,,,,,, ,,,,,,,,,,,,,,,,Blob,FASTQ sequences,4 / data (raw reads),Raw sequence data,,,Blob,FASTQ sequences,,,
5 / process (comput.),Software tools and version numbers,software_versions, , ,Software_versions,,, ,,,,software_versions,,software_versions, ,,,,,,,,,,,,,,,"version number and / or date, include company pipelines",String,Free text,5 / process (comput.),Software tools and version numbers,software_versions,"version number and / or date, include company pipelines",String,Free text,,,
5 / process (comput.),Paired read assembly,paired_reads_assembly, , ,Paired_read_assembly,,, ,,,,paired_reads_assembly,,paired_reads_assembly, ,,,,,,,,,,,,,,,How paired end reads were assembled into a single receptor sequence,String,Free text,5 / process (comput.),Paired read assembly,paired_reads_assembly,How paired end reads were assembled into a single receptor sequence,String,Free text,,,
5 / process (comput.),Quality thresholds,quality_thresholds, , ,quality_thresholds,,, ,,,,quality_thresholds,,quality_thresholds, ,,,,,,,,,,,,,,,How sequences were removed from (4) based on base quality scores,String,Free text,5 / process (comput.),Quality thresholds,quality_thresholds,How sequences were removed from (4) based on base quality scores,String,Free text,,,
5 / process (comput.),Primer match cutoffs,primer_match_cutoffs, , ,primer_match_cutoffs,,, ,,,,primer_match_cutoffs,,primer_match_cutoffs, ,,,,,,,,,,,,,,,"How primers were identified in the sequences, were they removed/masked/etc?",String,Free text,5 / process (comput.),Primer match cutoffs,primer_match_cutoffs,"How primers were identified in the sequences, were they removed/masked/etc?",String,Free text,,,
5 / process (comput.),Collapsing method,collapsing_method, , ,collapsing_method,,, ,,,,collapsing_method,,collapsing_method, ,,,,,,,,,,,,,,,The method used for combining multiple sequences from (4) into a single sequence in (5),String,Free text,5 / process (comput.),Collapsing method,collapsing_method,The method used for combining multiple sequences from (4) into a single sequence in (5),String,Free text,,,
5 / process (comput.),Data processing protocols,data_processing_protocols, , ,data_processing_protocols,,, ,,,,data_processing_protocols,,data_processing_protocols, ,,,,,,,,,,,,,,,General description of how QC is performed,String,Free text,5 / process (comput.),Data processing protocols,data_processing_protocols,General description of how QC is performed,String,Free text,,,
,,, , ,,subject_age,subject_age, ,,,,ir_subject_age,,,Y,ir_subject_age,ir_subject_age,,,ir_subject_age,,,ir_subject_age,,,ir_subject_age,ir_subject_age,Age,Age,,,,,,,,,,,,
,,, , ,,sra_run_id,sra_run_id, ,,,,ir_sra_run_id,,,Y,ir_sra_run_id,ir_sra_run_id,,,ir_sra_run_id,,,ir_sra_run_id,,,ir_sra_run_id,ir_sra_run_id,SRA Run ID,SRA ID,,,,,,,,,,,,
,,, , ,,marker_1,marker_1, ,,,,ir_marker_1,,, ,,,,,,,,,,,,,Marker 1,Marker 1,,,,,,,,,,,,
,,, , ,,marker_2,marker_2, ,,,,ir_marker_2,,, ,,,,,,,,,,,,,Marker 2,Marker 2,,,,,,,,,,,,
,,, , ,,marker_3,marker_3, ,,,,ir_marker_3,,, ,,,,,,,,,,,,,Marker 3,Marker 3,,,,,,,,,,,,
,,, , ,,marker_4,marker_4, ,,,,ir_marker_4,,, ,,,,,,,,,,,,,Marker 4,Marker 4,,,,,,,,,,,,
,,, , ,,marker_5,marker_5, ,,,,ir_marker_5,,, ,,,,,,,,,,,,,Marker 5,Marker 5,,,,,,,,,,,,
,,, , ,,marker_6,marker_6, ,,,,ir_marker_6,,, ,,,,,,,,,,,,,Marker 6,Marker 6,,,,,,,,,,,,
,,, , ,,project_sample_note,project_sample_note, ,,,,ir_project_sample_note,,,Y,ir_project_sample_note,ir_project_sample_note,,,ir_project_sample_note,,,ir_project_sample_note,,,ir_project_sample_note,ir_project_sample_note,Sample Note,Sample Note,,,,,,,,,,,,
,,, , ,,subject_id,subject_id, ,,,,ir_subject_id,,,Y,ir_subject_id,ir_subject_id,,,ir_subject_id,,,ir_subject_id,,,ir_subject_id,ir_subject_id,,,,,,,,,,,,,,
,,, , ,,project_id,project_id, ,,,,ir_project_id,ir_project_id,ir_project_id,Y,ir_project_id,ir_project_id,ir_project_id,ir_project_id,ir_project_id,ir_project_id,ir_project_id,ir_project_id,ir_project_id,ir_project_id,ir_project_id,ir_project_id,,,,,,,,,,,,,,
,,, , ,,project_parent_id,project_parent_id, ,,,,ir_project_parent_id,,,Y,ir_project_parent_id,ir_project_parent_id,,,ir_project_parent_id,,,ir_project_parent_id,,,ir_project_parent_id,ir_project_parent_id,,,,,,,,,,,,,,
,,, , ,,lab_id,lab_id, ,,,,ir_lab_id,ir_lab_id,ir_lab_id,Y,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,ir_lab_id,,,,,,,,,,,,,,
,,, , ,,disease_state_id,disease_state_id, ,,,,ir_disease_state_id,,,Y,ir_disease_state_id,ir_disease_state_id,,,ir_disease_state_id,,,ir_disease_state_id,,,ir_disease_state_id,ir_disease_state_id,,,,,,,,,,,,,,
,,, , ,,case_control_id,case_control_id, ,,,,ir_case_control_id,,,Y,ir_case_control_id,ir_case_control_id,,,ir_case_control_id,,,ir_case_control_id,,,ir_case_control_id,ir_case_control_id,,,,,,,,,,,,,,
,,, , ,,sample_id,sample_id, ,,,,ir_sample_id,,,Y,ir_sample_id,ir_sample_id,,,ir_sample_id,,,ir_sample_id,,,ir_sample_id,ir_sample_id,,,,,,,,,,,,,,
,,,, ,,project_sample_id,project_sample_id, ,,,,ir_project_sample_id,,,Y,ir_project_sample_id,ir_project_sample_id,,,ir_project_sample_id,,,ir_project_sample_id,,,ir_project_sample_id,ir_project_sample_id,,,,,,,,,,,,,,
,,,, ,,sample_subject_id,sample_subject_id,,,,,ir_sample_subject_id,,,Y,ir_sample_subject_id,ir_sample_subject_id,,,ir_sample_subject_id,,,ir_sample_subject_id,,,ir_sample_subject_id,ir_sample_subject_id,,,,,,,,,,,,,,
,,,, ,,dna_id,dna_id,,,,,ir_dna_id,,,Y,ir_dna_id,ir_dna_id,,,ir_dna_id,,,ir_dna_id,,,ir_dna_id,ir_dna_id,,,,,,,,,,,,,,
,,,, ,,sample_source_id,sample_source_id,,,,,ir_sample_source_id,,,Y,ir_sample_source_id,ir_sample_source_id,,,ir_sample_source_id,,,ir_sample_source_id,,,ir_sample_source_id,ir_sample_source_id,,,,,,,,,,,,,,
,,,,,,,,,,,,ir_sequence_count,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ir_username,ir_username, ,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ir_subject_age_min,ir_subject_age_min, ,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ir_subject_age_max,ir_subject_age_max, ,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ir_project_sample_id_list,ir_project_sample_id_list, ,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ir_data_format,ir_data_format, ,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ir_junction_nt_length,ir_junction_nt_length, ,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ir_junction_aa_length,ir_junction_aa_length, ,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ir_show_unproductive,ir_show_unproductive,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
